Designator,Mid X,Mid Y,Rotation,Layer
C1,109.57,-64.5875,270.0,top
C10,106.4,-56.74,0.0,top
C11,101.32,-77.18,270.0,top
C12,104.24,-79.39,180.0,top
C13,112.78,-78.79,270.0,top
C14,113.48,-61.33,180.0,top
C2,108.19,-71.7675,0.0,top
C3,99.37,-71.75,270.0,top
C4,108.83,-62.7075,0.0,top
C5,99.43,-57.37,90.0,top
C6,101.98,-60.61,180.0,top
C7,102.47,-57.375,90.0,top
C8,101.95,-59.54,180.0,top
C9,108.7,-59.6575,90.0,top
D1,109.86,-74.17,0.0,top
D2,107.0,-83.53,0.0,top
D3,98.77,-78.22,270.0,top
J1,107.0,-47.66,270.0,top
J2,115.55,-70.08,90.0,top
J4,107.0,-89.62,0.0,top
L1,108.64,-78.73,90.0,top
R1,111.45,-71.17,180.0,top
R5,111.09,-67.12,270.0,top
R6,110.67,-64.9275,270.0,top
R7,105.28,-81.74,180.0,top
R8,107.62,-52.44,0.0,top
U1,103.85,-67.0975,180.0,top
U2,104.27,-76.4075,90.0,top
U3,107.0,-65.0,0.0,top
U4,114.469975,-56.816605,270.0,top
U5,94.0,-81.5,0.0,top
U6,118.0,-46.0,0.0,top
U7,114.0,-87.0,0.0,top
Y1,106.24,-59.5175,90.0,top
